X= 40, Y= 42, crit=  9, vga_plot=1
X= 74, Y= 76, crit=  9, vga_plot=1
X= 40, Y= 30, crit=  9, vga_plot=1
X= 74, Y= -4, crit=  9, vga_plot=0
X=120, Y= 30, crit=  9, vga_plot=1
X= 86, Y= -4, crit=  9, vga_plot=0
X=119, Y= 43, crit=-54, vga_plot=1
X= 87, Y= 75, crit=-54, vga_plot=1
X= 41, Y= 43, crit=-54, vga_plot=1
X= 73, Y= 75, crit=-54, vga_plot=1
X= 41, Y= 29, crit=-54, vga_plot=1
X= 73, Y= -3, crit=-54, vga_plot=0
X=119, Y= 29, crit=-54, vga_plot=1
X= 87, Y= -3, crit=-54, vga_plot=0
X=119, Y= 44, crit=-37, vga_plot=1
X= 88, Y= 75, crit=-37, vga_plot=1
X= 41, Y= 44, crit=-37, vga_plot=1
X= 72, Y= 75, crit=-37, vga_plot=1
X= 41, Y= 28, crit=-37, vga_plot=1
X= 72, Y= -3, crit=-37, vga_plot=0
X=119, Y= 28, crit=-37, vga_plot=1
X= 88, Y= -3, crit=-37, vga_plot=0
X=119, Y= 45, crit=-18, vga_plot=1
X= 89, Y= 75, crit=-18, vga_plot=1
X= 41, Y= 45, crit=-18, vga_plot=1
X= 71, Y= 75, crit=-18, vga_plot=1
X= 41, Y= 27, crit=-18, vga_plot=1
X= 71, Y= -3, crit=-18, vga_plot=0
X=119, Y= 27, crit=-18, vga_plot=1
X= 89, Y= -3, crit=-18, vga_plot=0
X=119, Y= 46, crit=  3, vga_plot=1
X= 90, Y= 75, crit=  3, vga_plot=1
X= 41, Y= 46, crit=  3, vga_plot=1
X= 70, Y= 75, crit=  3, vga_plot=1
X= 41, Y= 26, crit=  3, vga_plot=1
X= 70, Y= -3, crit=  3, vga_plot=0
X=119, Y= 26, crit=  3, vga_plot=1
X= 90, Y= -3, crit=  3, vga_plot=0
X=118, Y= 47, crit=-50, vga_plot=1
X= 91, Y= 74, crit=-50, vga_plot=1
X= 42, Y= 47, crit=-50, vga_plot=1
X= 69, Y= 74, crit=-50, vga_plot=1
X= 42, Y= 25, crit=-50, vga_plot=1
X= 69, Y= -2, crit=-50, vga_plot=0
X=118, Y= 25, crit=-50, vga_plot=1
X= 91, Y= -2, crit=-50, vga_plot=0
X=118, Y= 48, crit=-25, vga_plot=1
X= 92, Y= 74, crit=-25, vga_plot=1
X= 42, Y= 48, crit=-25, vga_plot=1
X= 68, Y= 74, crit=-25, vga_plot=1
X= 42, Y= 24, crit=-25, vga_plot=1
X= 68, Y= -2, crit=-25, vga_plot=0
X=118, Y= 24, crit=-25, vga_plot=1
X= 92, Y= -2, crit=-25, vga_plot=0
X=118, Y= 49, crit=  2, vga_plot=1
X= 93, Y= 74, crit=  2, vga_plot=1
